t,yt
759,406.2236328
760,437.4970703
761,468.2216797
762,500.8574219
763,533.5439453
764,569.0546875
765,602.0537109
766,637.6386719
767,677.2333984
768,712.0175781
769,748.7783203
770,785.5791016
771,827.0800781
772,864.9492188
773,899.9589844
774,932.2929688
775,966.7929688
776,1000.146484
777,1035.651367
778,1071.990234
779,1100.870117
780,1128.591797
781,1156.863281
782,1184.430664
783,1215.411133
784,0
785,35
786,69.32324219
787,104.6757813
788,137.1005859
789,167.2089844
790,205.9101563
791,371.90625
792,404.5673828
793,439.1552734
794,471.0742188
795,503.6386719
796,532.9472656
797,566.3515625
798,601.6757813
799,637.4501953
800,672.6337891
801,706.5654297
802,740.2617188
803,773.1484375
804,806.1679688
805,839.8964844
806,133.7441406
807,166.3896484
808,201.4023438
809,234.3642578
810,265.4951172
811,296.8945313
812,330.7910156
813,363.0722656
814,395.0488281
815,429.0419922
816,467.0742188
817,503.0859375
818,539.3984375
819,577.2177734
820,612.9648438
821,648.8115234
822,683.6816406
823,719.5927734
824,755.4794922
825,792.2382813
826,831.8144531
827,869.3486328
828,907.9765625
829,949.7822266
830,990.8095703
831,1031.976563
832,1071.926758
833,1110.147461
834,1151.641602
835,1187.933594
836,1223.344727
837,1258.253906
838,28255.87598
839,28292.17969
840,28331.48242
841,28369.32617
842,28406.78906
843,28445.51074
844,28483.43164
845,28517.57324
846,28553.00586
847,28592.25781
848,28630.02637
849,28667.23633
850,28702.99512
851,28738.97559
852,28773.99707
853,0
854,36.86621094
855,71.140625
856,105.3164063
857,138.1806641
858,172.7402344
859,204.7119141
860,239.6630859
861,272.6591797
862,304.1054688
863,334.2431641
864,365.6835938
865,396.5478516
866,428.9550781
867,462.1552734
868,497.6679688
869,528.0166016
870,558.3398438
871,588.5947266
872,619.8007813
873,652.8964844
874,686.0996094
875,718.8740234
876,749.4824219
877,780.7841797
878,809.1757813
879,844.1679688
880,880.1708984
881,921.9980469
882,955.8193359
883,985.5576172
884,1022.385742
885,1057.330078
886,1091.774414
887,1128.069336
888,1166.791992
889,1201.033203
890,0
891,35.69140625
892,0
893,41.38867188
894,78.4921875
895,118.3046875
896,157.8710938
897,197.4580078
898,232.6064453
899,260.7880859
900,286.8662109
901,313.1962891
902,339.0332031
903,364.2460938
904,389.46875
905,414.4521484
906,438.9931641
907,826.265625
908,861.1289063
909,892.3886719
910,924.5654297
911,956.8828125
912,987.9677734
913,1020.375977
914,1054.126953
915,1088.164063
916,1122.756836
917,1159.658203
918,1196.175781
919,1232.050781
920,1275.147461
921,1322.217773
922,1363.070313
923,722550.1416
924,722588.6396
925,722629.1514
926,722668.3037
927,722708.5693
928,722748.7041
929,34.59472656
930,71.11425781
931,105.5634766
932,144.1357422
933,181.8310547
934,219.2734375
935,256.8789063
936,293.8964844
937,332.6220703
938,369.5966797
939,406.7802734
940,451.3505859
941,497.5722656
942,533.7695313
943,575.6933594
944,614.0625
945,655.2138672
946,692.9140625
947,731.4130859
948,775.6796875
949,816.5361328
950,854.6152344
951,889.1816406
952,925.5429688
953,961.1845703
954,994.0087891
955,1023.561523
956,1058.133789
957,1090.619141
958,1121.828125
959,1153.121094
960,1191.884766
961,1231.605469
962,1264.857422
963,1297.526367
964,1329.262695
965,1362.541016
966,41.90820313
967,75.00195313
968,107.2050781
969,139775.7998
970,139810.9746
971,139848.1289
972,139886.6055
973,139926.4502
974,139962.7109
975,139996.6748
976,140032.7432
977,834.2753906
978,874.9697266
979,910.5205078
980,945.1220703
981,0
982,38.34863281
983,78.9921875
984,126.5351563
